person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
29,24268,RENT,11.0,HOMEIMPROVEMENT,B,5492,,0,0.23,Y,2
21,36116,MORTGAGE,4.0,EDUCATION,G,10867,23.22,0,0.3,N,6
32,9801,RENT,4.0,HOMEIMPROVEMENT,A,2329,6.91,0,0.24,N,5
33,18827,MORTGAGE,2.0,EDUCATION,D,4087,18.95,1,0.22,N,5
20,34753,MORTGAGE,3.0,MEDICAL,B,2473,10.64,0,0.07,Y,3
20,22835,MORTGAGE,16.0,PERSONAL,D,3376,18.9,0,0.15,N,8
28,49366,RENT,4.0,MEDICAL,C,2013,13.87,1,0.04,N,7
25,9257,RENT,8.0,HOMEIMPROVEMENT,A,3771,7.63,0,0.41,N,4
27,8694,MORTGAGE,0.0,PERSONAL,D,6368,18.34,1,0.73,Y,15
22,33635,RENT,1.0,MEDICAL,A,779,5.42,0,0.02,Y,2
32,35461,RENT,1.0,EDUCATION,D,3910,17.59,1,0.11,Y,3
32,19805,MORTGAGE,3.0,EDUCATION,C,4615,13.23,1,0.23,N,2
28,27452,MORTGAGE,1.0,PERSONAL,A,4052,8.77,0,0.15,N,2
34,33185,MORTGAGE,1.0,MEDICAL,C,1520,13.49,1,0.05,N,4
30,14078,RENT,4.0,DEBTCONSOLIDATION,C,9594,13.47,1,0.68,N,7
22,14931,RENT,5.0,PERSONAL,B,9506,9.7,0,0.64,N,5
29,24449,MORTGAGE,7.0,EDUCATION,D,10943,16.9,0,0.45,N,17
21,36215,RENT,14.0,EDUCATION,A,3324,7.8,0,0.09,N,2
32,11599,RENT,5.0,MEDICAL,A,5545,7.09,1,0.48,N,4
27,19754,RENT,7.0,PERSONAL,A,2949,,0,0.15,N,8
26,19257,MORTGAGE,14.0,DEBTCONSOLIDATION,D,2320,16.32,0,0.12,N,2
23,27719,RENT,2.0,VENTURE,A,2236,5.69,0,0.08,N,8
35,21921,MORTGAGE,,VENTURE,D,5655,16.8,1,0.26,N,11
26,16313,RENT,4.0,PERSONAL,D,8823,17.51,1,0.54,N,4
25,43770,RENT,1.0,MEDICAL,C,12093,12.09,0,0.28,Y,3
25,16373,MORTGAGE,1.0,HOMEIMPROVEMENT,B,4747,12.96,1,0.29,N,3
30,18757,MORTGAGE,1.0,MEDICAL,B,3048,,0,0.16,N,7
29,9179,MORTGAGE,1.0,HOMEIMPROVEMENT,A,4593,9.54,0,0.5,N,6
30,14876,MORTGAGE,16.0,VENTURE,C,9700,16.0,0,0.65,N,8
30,29256,RENT,1.0,DEBTCONSOLIDATION,B,15301,11.99,1,0.52,N,2
40,26273,RENT,,EDUCATION,B,11203,10.97,1,0.43,N,9
25,30629,RENT,1.0,HOMEIMPROVEMENT,B,10458,9.48,0,0.34,N,5
24,29823,RENT,12.0,EDUCATION,A,12746,6.05,0,0.43,N,15
22,69441,MORTGAGE,12.0,MEDICAL,A,5174,5.42,0,0.07,N,2
31,14598,MORTGAGE,17.0,VENTURE,B,5986,,0,0.41,N,11
34,9039,RENT,7.0,EDUCATION,F,10322,23.22,0,0.83,N,2
27,12359,RENT,4.0,PERSONAL,E,7047,20.49,0,0.57,N,2
22,14957,OTHER,12.0,EDUCATION,A,9017,5.42,0,0.6,N,5
22,12888,OWN,10.0,PERSONAL,C,3211,13.27,0,0.25,N,2
31,23190,RENT,4.0,MEDICAL,B,13082,9.78,1,0.56,N,7
32,43868,RENT,4.0,PERSONAL,C,3465,,1,0.08,N,9
30,51370,RENT,6.0,MEDICAL,A,10706,5.42,0,0.21,N,3
23,29067,RENT,1.0,EDUCATION,B,4616,13.88,0,0.16,Y,2
29,71517,RENT,,PERSONAL,B,3383,11.87,1,0.05,Y,9
28,18105,OWN,1.0,VENTURE,C,1217,10.16,0,0.07,Y,2
29,8974,RENT,0.0,EDUCATION,A,4219,6.04,0,0.47,N,2
32,39310,OWN,8.0,MEDICAL,C,2052,14.67,0,0.05,N,9
29,8012,RENT,7.0,DEBTCONSOLIDATION,B,2576,9.98,1,0.32,Y,6
31,14541,RENT,1.0,HOMEIMPROVEMENT,B,7019,10.59,1,0.48,N,5
28,29321,RENT,1.0,MEDICAL,D,1698,20.41,0,0.06,N,2
29,20820,MORTGAGE,13.0,MEDICAL,A,11629,6.37,0,0.56,N,8
31,19830,MORTGAGE,6.0,MEDICAL,B,28689,,1,0.83,N,8
20,11505,RENT,,EDUCATION,B,3504,12.37,1,0.3,N,2
25,21895,RENT,2.0,EDUCATION,B,11420,8.9,0,0.52,N,17
